douyu(ljk播放器),#genre#
澳视葡文,http://103.233.191.133:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/playlist.m3u8
澳门macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
澳门macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳门macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳门macau,http://61.244.22.4/ch3/ch3.live/playlist.m3u8
澳门macau,http://124.238.99.44:808/hls/357/index.m3u8
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8
4K台,#genre#
纯享4K[3840*2160],http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
CCTV蓝光,#genre#
综合,http://39.135.32.24:6610/000000001000/1000000001000021973/1.m3u8izzhongd
财经2台,http://39.135.32.24:6610/000000001000/1000000001000012442/1.m3u8izzhongd
财经2台,http://39.135.32.6:6610/PLTV/77777777/224/3221225657/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
财经2台,http://39.135.32.6:6610/PLTV/77777777/224/3221225676/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
财经2台,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8zzhongd
综艺3台,http://39.135.32.24:6610/000000001000/1000000001000011218/index.m3u8izzhongd
综艺3台,http://39.135.32.6:6610/PLTV/77777777/224/3221225713/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
综艺3台,http://39.135.32.6:6610/PLTV/77777777/224/3221225677/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
中文国际4台,http://39.135.32.24:6610/000000001000/1000000002000031664/1.m3u8izzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225761/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225775/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225753/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
中文国际4台,http://117.148.179.157/PLTV/88888888/224/3221231726/index.m3u8zzhongd
体育5台,http://39.135.32.24:6610/000000001000/1000000001000004794/1.m3u8izzhongd
体育5台,http://39.135.32.6:6610/PLTV/77777777/224/3221225516/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
体育5台,http://39.135.32.6:6610/PLTV/77777777/224/3221225660/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
电影6台,http://39.135.32.24:6610/000000001000/1000000001000001737/index.m3u8izzhongd
电影6台,http://39.135.32.6:6610/PLTV/77777777/224/3221225715/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
国防军事7台,http://39.135.32.24:6610/000000001000/1000000001000017218/1.m3u8xtkgzzhongd
国防军事7台,http://39.135.32.6:6610/PLTV/77777777/224/3221225700/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
国防军事7台,http://117.148.179.157/PLTV/88888888/224/3221231633/index.m3u8zzhongd
电视剧8台,http://39.135.32.24:6610/000000001000/1000000001000003736/index.m3u8izzhongd
电视剧8台,http://39.135.32.6:6610/PLTV/77777777/224/3221225716/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
电视剧8台,http://39.135.32.6:6610/PLTV/77777777/224/3221225630/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
电视剧8台,http://117.148.179.157/PLTV/88888888/224/3221231694/index.m3u8zzhongd
纪录9台,http://39.135.32.24:6610/000000001000/1000000001000014583/1.m3u8izzhongd
科教10台,http://39.135.32.24:6610/000000001000/1000000001000023734/index.m3u8izzhongd
科教10台,http://39.135.32.6:6610/PLTV/77777777/224/3221225704/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
戏曲11台,http://39.135.32.25:6610/000000001000/1000000002000019789/1.m3u8izzhongd
戏曲11台,http://39.135.32.6:6610/PLTV/77777777/224/3221225739/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
戏曲11台,http://39.135.32.6:6610/PLTV/77777777/224/3221225750/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
戏曲11台,http://117.148.179.157/PLTV/88888888/224/3221231711/index.m3u8zzhongd
社会与法12台,http://39.135.32.24:6610/000000001000/1000000001000032494/1.m3u8i
社会与法12台,http://39.135.32.6:6610/PLTV/77777777/224/3221225645/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
新闻13台,http://39.135.32.24:6610/000000001000/1000000002000021303/1.m3u8izzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225759/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225742/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225787/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
少儿14台,http://39.135.32.24:6610/000000001000/1000000001000008170/1.m3u8izzhongd
少儿14台,http://39.135.32.6:6610/PLTV/77777777/224/3221225648/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
音乐15台,http://39.135.32.24:6610/000000001000/1000000002000008163/1.m3u8izzhongd
音乐15台,http://39.135.32.6:6610/PLTV/77777777/224/3221225693/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
综合1台,http://39.135.32.6:6610/PLTV/77777777/224/3221225924/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
综合1台,http://39.135.32.6:6610/PLTV/77777777/224/3221225654/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
综合1台,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8zzhongd
体育赛事,http://39.135.32.6:6610/PLTV/77777777/224/3221225712/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
奥林匹克16台,http://39.135.32.6:6610/PLTV/77777777/224/3221225956/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
农业农村17台,http://39.135.32.6:6610/PLTV/77777777/224/3221225513/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
农业农村17台,http://39.135.32.6:6610/PLTV/77777777/224/3221225766/index.m3u8servicetype=1&IASHttpSessionId=OTTzzhongd
4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8zzhongd
CCTV流通,#genre#
1台综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8zyangd
1台综合,http://117.148.179.157/PLTV/88888888/224/3221232791/index.m3u8zyangd
3台综艺,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8zyangd
3台综艺,http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8zyangd
4台中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225781/1.m3u8zyangd
6台电影,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8zyangd
6台电影,http://202.107.188.139:5002/cctv6_hdgq.m3u8token=guoziyunzyangd
6台电影,http://123.6.9.146/live/jz-cctv-6/live.m3u8zyangd
7台国防军事,http://202.107.188.139:5002/cctv7_hdgq.m3u8token=guoziyunzyangd
8台电视剧,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8zyangd
9台纪录,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8zyangd
9台纪录,http://202.107.188.139:5002/cctv9_hdgq.m3u8token=guoziyunzyangd
9台纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225758/1.m3u8zyangd
10台科教,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225777/1.m3u8zyangd
10台科教,http://123.6.9.146/live/jz-cctv-10/live.m3u8zyangd
11台戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225776/1.m3u8zyangd
12台社会与法,http://123.6.9.146/live/jz-cctv-12/live.m3u8zyangd
12台社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225775/1.m3u8zyangd
13台新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8zyangd
13台新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8auth_key=1635962688-0-e013f973588e41599d7751a912170d78-fd33c55f8befe5c00fb32fee650348c0zyangd
13台新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225617/1.m3u8zyangd
14台少儿,http://111.40.196.30/PLTV/88888888/224/3221225573/index.m3u8zyangd
14台少儿,http://111.63.117.13:6060/030000001000/G_CCTV-14/G_CCTV-14.m3u8zyangd
14台少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225784/1.m3u8zyangd
14台少儿,http://123.6.9.146/live/jz-cctv-14/live.m3u8zyangd
15台音乐,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8zyangd
15台音乐,http://111.63.117.13:6060/030000001000/G_CCTV-15/G_CCTV-15.m3u8zyangd
17台农业农村,http://59.51.68.40:1936/live/cctv7/playlist.m3u8zyangd
17台农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226208/1.m3u8zyangd
老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8zyangd
高尔夫网球,http://39.135.32.6:6610/PLTV/77777777/224/3221225884/index.m3u8servicetype=1&IASHttpSessionId=OTTzyangd
发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226235/1.m3u8zyangd
中国教育1,http://39.135.32.24:6610/000000001000/1000000002000027253/1.m3u8xtkgzyangd
中国教育1,http://117.148.179.157/PLTV/88888888/224/3221231714/index.m3u8zyangd
中国教育1,http://39.135.32.6:6610/PLTV/77777777/224/3221225776/index.m3u8servicetype=1&IASHttpSessionId=OTTzyangd
中国教育2,http://117.148.179.157/PLTV/88888888/224/3221232834/index.m3u8zyangd
中国教育2,http://39.135.32.6:6610/PLTV/77777777/224/3221225881/index.m3u8servicetype=1&IASHttpSessionId=OTTzyangd
中国教育4,http://39.135.32.6:6610/PLTV/77777777/224/3221225723/index.m3u8servicetype=1&IASHttpSessionId=OTTzyangd
CGTV,http://39.135.32.24:6610/000000001000/8428799834696888424/1.m3u8xtkgzyangd
CGTN,https://live.cgtn.com/1000/prog_index.m3u8zyangd
CGTN,http://39.135.138.58:18890/ysten-businessmobile/live/cctvennews/1.m3u8zyangd
CGTN法语,http://117.148.179.157/PLTV/88888888/224/3221231550/index.m3u8zyangd
CGTN阿拉伯语,http://39.135.32.6:6610/PLTV/77777777/224/3221225822/index.m3u8servicetype=1&IASHttpSessionId=OTTzyangd
卫视蓝光,#genre#
广东,http://39.135.32.6:6610/PLTV/77777777/224/3221225666/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
广东卫视,http://39.135.32.24:6610/000000001000/1000000001000028357/1.m3u8xtkgzweid
广东卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-guangdongstv/1.m3u8IASHttpSessionId=OTTzweid
深圳卫视,http://39.135.32.24:6610/000000001000/1000000001000011645/1.m3u8xtkgzweid
深圳卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225725/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
湖南卫视,http://39.135.32.24:6610/000000001000/1000000001000009115/1.m3u8xtkgzweid
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8zweid
湖南卫视,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8zweid
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8zweid
湖南卫视,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8zweid
浙江卫视,http://39.135.32.24:6610/000000001000/1000000001000009806/1.m3u8xtkgzweid
浙江卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-zhejiangstv/1.m3u8IASHttpSessionId=OTTzweid
浙江卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225731/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
东方卫视,http://39.135.32.24:6610/000000001000/1000000001000030202/1.m3u8xtkgzweid
东方卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-dongfangstv/1.m3u8IASHttpSessionId=OTTzweid
东方卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225718/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
江苏卫视,http://39.135.32.24:6610/000000001000/1000000001000004684/1.m3u8xtkgzweid
江苏卫视,http://39.135.32.24:6610/000000001000/HD-4000k-1080P-jiangsustv/1.m3u8IASHttpSessionId=OTTzweid
江苏卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225722/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8zweid
北京卫视,http://39.135.32.24:6610/000000001000/1000000001000017156/1.m3u8xtkgzweid
北京卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-beijingstv/1.m3u8IASHttpSessionId=OTTzweid
北京卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225651/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
天津卫视,http://39.135.32.24:6610/000000001000/1000000001000000831/1.m3u8xtkgzweid
山東卫视,http://39.135.32.24:6610/000000001000/1000000001000012807/1.m3u8xtkgzweid
东南卫视,http://39.135.32.24:6610/000000001000/1000000002000009263/1.m3u8xtkgzweid
东南卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225696/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
江西卫视,http://39.135.32.24:6610/000000001000/1000000001000013731/1.m3u8xtkgzweid
江西卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225669/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
黑龙江卫视,http://39.135.32.24:6610/000000001000/8467838254824392379/1.m3u8xtkgzweid
黑龙江卫视,http://39.135.32.24:6610/000000001000/hdheilongjiangstv/1.m3u8IASHttpSessionId=OTTzweid
黑龙江卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225734/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
重庆卫视,http://39.135.32.24:6610/000000001000/1000000002000018937/1.m3u8xtkgzweid
重庆卫视,http://39.135.32.6:6610/000000001000/HD-8000k-1080P-chongqingstv/1.m3u8IASHttpSessionId=OTTzweid
重庆卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225745/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
辽宁卫视,http://39.135.32.24:6610/000000001000/1000000002000024033/1.m3u8xtkgzweid
辽宁卫视,http://39.135.32.24:6610/000000001000/HD-8000k-1080P-liaoningstv/1.m3u8IASHttpSessionId=OTTzweid
辽宁卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225779/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
山东卫视,http://39.135.32.24:6610/000000001000/HD-8000k-1080P-shandongstv/1.m3u8IASHttpSessionId=OTTzweid
山东卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225672/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
安徽卫视,http://39.135.32.24:6610/000000001000/anhuistv/1.m3u8IASHttpSessionId=OTTzweid
安徽卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225701/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
湖北卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225721/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
湖北卫视,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8zweid
广西卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225986/index.m3u8servicetype=1&IASHttpSessionId=OTTzweid
四川卫视,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8zweid
卫视流通,#genre#
广东,http://117.148.179.159/PLTV/88888888/224/3221231502/index.m3u8zweimd
广东卫视,http://111.40.196.32/PLTV/88888888/224/3221225533/index.m3u8zweimd
广东卫视,http://111.40.196.31/PLTV/88888888/224/3221225531/index.m3u8zweimd
深圳卫视,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8zweimd
深圳卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225741/index.m3u8zweimd
湖南卫视,http://111.40.196.30/PLTV/88888888/224/3221225554/index.m3u8zweimd
湖南卫视,http://111.40.196.28/PLTV/88888888/224/3221225519/index.m3u8zweimd
北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8zweimd
北京卫视,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8zweimd
北京卫视,http://111.40.196.32/PLTV/88888888/224/3221225527/index.m3u8zweimd
浙江卫视,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8zweimd
东南卫视,http://111.40.196.28/PLTV/88888888/224/3221225583/index.m3u8zweimd
安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8zweimd
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8zweimd
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8zweimd
江西卫视,http://117.148.179.157/PLTV/88888888/224/3221231511/index.m3u8zweimd
天津卫视,http://111.40.196.32/PLTV/88888888/224/3221225597/index.m3u8zweimd
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8zweimd
辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8zweimd
南方卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-nanfangstv/1.m3u8IASHttpSessionId=OTTzweimd
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8zweimd
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8zweimd
东方卫视,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8zweimd
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8zweimd
山东卫视,http://111.40.196.30/PLTV/88888888/224/3221225543/index.m3u8zweimd
厦门卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-xiamenstv/1.m3u8IASHttpSessionId=OTTzweimd
厦门卫视,http://111.40.196.32/PLTV/88888888/224/3221225643/index.m3u8zweimd
厦门卫视,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8zweimd
甘肃卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-gansustv/1.m3u8IASHttpSessionId=OTTzweimd
甘肃卫视,http://39.135.32.24:6610/000000001000/1000000002000017827/1.m3u8xtkgzweimd
甘肃卫视,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8zweimd
甘肃卫视,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8zweimd
河北卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-hebeistv/1.m3u8IASHttpSessionId=OTTzweimd
河北卫视,http://39.135.32.24:6610/000000001000/1000000002000017118/1.m3u8xtkgzweimd
河北卫视,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8zweimd
山西卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-shanxistv/1.m3u8IASHttpSessionId=OTTzweimd
山西卫视,http://39.135.32.24:6610/000000001000/1000000002000021220/1.m3u8xtkgzweimd
河南卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-henanstv/1.m3u8IASHttpSessionId=OTTzweimd
河南卫视,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8zweimd
